,Date Created,Sentiment_pred,Mode
98,2018-01-19,"[-1, 1, -1, 1, -1, 1, 1, -1, -1, 1]",1
99,2018-01-20,"[-1, -1, 1, 1, -1, -1, 1, 1, -1, 1]",1
100,2018-01-21,"[-1, -1, -1, 1, -1, 1, -1, -1, 1, 1]",-1
101,2018-01-22,"[1, -1, 1, 1, 1, 1, -1, -1, -1, 1]",1
102,2018-01-23,"[1, -1, -1, 1, 1, 1, -1, 1, -1, 1]",1
103,2018-01-24,"[-1, 1, 1, 1, -1, -1, -1, -1, 1, -1]",-1
104,2018-01-25,"[-1, -1, -1, 1, -1, -1, -1, -1, 1, 1]",-1
105,2018-01-26,"[1, 1, 1, 1, 1, -1, 1, -1, 1, -1]",1
106,2018-01-27,"[1, 1, -1, 1, -1, 1, 1, 1, 1, 1]",1
107,2018-01-28,"[1, -1, -1, 1, 1, 1, 1, 1, -1, 1]",1
108,2018-01-29,"[1, -1, -1, -1, -1, 1, 1, -1, -1, -1]",-1
109,2018-01-30,"[1, -1, -1, 1, 1, -1, -1, -1, 1, 1]",1
110,2018-01-31,"[1, -1, -1, -1, -1, 1, -1, -1, -1, 1]",-1
111,2018-02-01,"[1, 1, -1, -1, -1, -1, 1, 1, -1, 1]",1
112,2018-02-02,"[1, -1, 1, -1, -1, 1, -1, -1, -1, -1]",-1
113,2018-02-03,"[-1, -1, 1, -1, 1, 1, 1, 1, -1, -1]",1
114,2018-02-04,"[1, -1, -1, -1, -1, 1, 1, 1, 1, 1]",1
115,2018-02-05,"[-1, -1, 1, 1, -1, -1, 1, -1, -1, -1]",-1
116,2018-02-06,"[-1, 1, 1, -1, -1, 1, -1, 1, -1, 1]",1
117,2018-02-07,"[1, -1, 1, 1, 1, 1, -1, -1, 1, 1]",1
118,2018-02-08,"[1, -1, -1, 1, 1, -1, 1, -1, 1, -1]",1
119,2018-02-09,"[1, -1, 1, 1, 1, -1, -1, 1, -1, -1]",1
120,2018-02-10,"[-1, -1, 1, 1, -1, -1, 1, 1, 1, 1]",1
121,2018-02-11,"[-1, -1, -1, 1, 1, -1, -1, -1, -1, 1]",-1
122,2018-02-12,"[-1, -1, -1, -1, 1, 1, -1, -1, -1, 1]",-1
123,2018-02-13,"[1, -1, -1, -1, 1, 1, -1, 1, 1, -1]",1
124,2018-02-14,"[1, 1, -1, -1, -1, 1, 1, -1, 1, 1]",1
125,2018-02-15,"[-1, 1, 1, 1, 1, -1, -1, 1, 1, 1]",1
126,2018-02-16,"[-1, -1, 1, 1, -1, 1, 1, 1, 1, -1]",1
127,2018-02-17,"[-1, -1, -1, -1, -1, -1, 1, 1, 1, 1]",-1
128,2018-02-18,"[-1, -1, 1, 1, 1, 1, 1, 1, 1]",1
129,2018-02-19,"[1, 1, 1, -1, -1, -1, 1, -1, -1, -1]",-1
130,2018-02-20,"[1, -1, 1, -1, 1, 1, 1, -1, 1, -1]",1
131,2018-02-21,"[-1, -1, -1, 1, 1, -1, -1, -1, -1, -1]",-1
132,2018-02-22,"[-1, -1, -1, 1, 1, -1, -1, -1, 1, -1]",-1
133,2018-02-23,"[1, 1, 1, 1, -1, 1, 1, 1, -1, 1]",1
134,2018-02-24,"[1, 1, 1, -1, 1, -1, 1, 1, 1, 1]",1
135,2018-02-25,"[-1, -1, -1, -1, 1, 1, 1, 1, -1, -1]",-1
136,2018-02-26,"[1, 1, 1, 1, 1, -1, -1, 1, 1, -1]",1
137,2018-02-27,"[-1, 1, -1, -1, 1, 1, -1, 1, 1, -1]",1
138,2018-02-28,"[1, -1, -1, -1, -1, 1, -1, 1, -1, -1]",-1
139,2018-03-01,"[1, -1, -1, 1, -1, -1, -1, 1, 1, -1]",-1
140,2018-03-02,"[-1, 1, 1, 1, 1, 1, -1, -1, -1, 1]",1
141,2018-03-03,"[1, 1, -1, -1, -1, -1, 1, 1, 1, -1]",1
142,2018-03-04,"[1, -1, -1, -1, 1, 1, -1, 1, 1, -1]",1
143,2018-03-05,"[-1, 1, -1, -1, -1, -1, -1, -1, -1, -1]",-1
